timestamp,location,vehicle_count,heavy_vehicle_count,light_vehicle_count,avg_speed,avg_speed_heavy,avg_speed_light,speed_variance,traffic_density,congestion_index,congestion_level,travel_time_minutes,weather,rainfall_mm,event,day_of_week,is_weekend,hour_of_day
01-09-2025 14:00,MG Road,156,22,134,49.58801965,47.8571677,47.59043704,3.8,0.78,7.8,High,6,Clear,0,0,0,0,14
01-09-2025 15:00,MG Road,156,25,131,41.27250357,42.58862395,54.16839937,9.4,0.78,7.8,High,7.3,Clear,0,0,0,0,15
01-09-2025 16:00,MG Road,178,41,137,35.35138549,46.80474806,49.95590064,2.5,0.89,8.9,High,8.5,Clear,0,0,0,0,16
01-09-2025 17:00,MG Road,190,53,137,45.43983509,45.03501247,52.5725289,3.2,0.95,9.5,High,6.6,Clear,0,0,0,0,17
01-09-2025 18:00,MG Road,205,40,165,36.51293195,49.05321351,43.42626622,8.4,1.02,10,High,8.2,Clear,0,0,0,0,18
01-09-2025 19:00,MG Road,218,29,189,32.79594378,50.14174106,43.18568616,6.1,1.09,10,High,9.1,Clear,0,0,0,0,19
01-09-2025 20:00,MG Road,119,15,104,38.26402808,54.36959746,60.2160332,6.7,0.59,5.9,Medium,7.8,Clear,0,0,0,0,20
01-09-2025 21:00,MG Road,176,42,134,44.84862011,51.32403089,49.11413909,2.8,0.88,8.8,High,6.7,Clear,0,0,0,0,21
01-09-2025 22:00,MG Road,142,32,110,44.35488938,47.95199343,59.58843983,4.2,0.71,7.1,Medium,6.8,Clear,0,0,0,0,22
01-09-2025 23:00,MG Road,128,13,115,47.8426252,42.95442099,57.7627051,3.4,0.64,6.4,Medium,6.3,Cloudy,0,0,0,0,23
02-09-2025 00:00,MG Road,113,13,100,41.46568735,43.51327288,54.67070572,9.2,0.56,5.6,Medium,7.2,Clear,0,0,1,0,0
02-09-2025 01:00,MG Road,157,22,135,44.25535412,53.12153121,52.09715203,9,0.79,7.9,High,6.8,Clear,0,0,1,0,1
02-09-2025 02:00,MG Road,161,40,121,48.64753292,49.53825771,57.07194121,3.5,0.81,8.1,High,6.2,Clear,0,0,1,0,2
02-09-2025 03:00,MG Road,145,26,119,44.71255261,44.96496743,56.22701234,6.6,0.72,7.2,Medium,6.7,Rainy,9.9,0,1,0,3
02-09-2025 04:00,MG Road,151,24,127,47.22204603,54.20085669,57.59230476,9.4,0.76,7.6,High,6.4,Clear,0,0,1,0,4
02-09-2025 05:00,MG Road,118,28,90,49.40915203,45.84098216,54.57721854,9.8,0.59,5.9,Medium,6.1,Clear,0,0,1,0,5
02-09-2025 06:00,MG Road,167,24,143,34.37193498,40.65826874,50.04328739,5.6,0.83,8.3,High,8.7,Clear,0,0,1,0,6
02-09-2025 07:00,MG Road,193,48,145,39.2408314,57.73998158,49.33831898,6.1,0.96,9.6,High,7.6,Rainy,6.8,0,1,0,7
02-09-2025 08:00,MG Road,220,25,195,39.44295199,54.36315091,36.5074937,6.1,1.1,10,High,7.6,Clear,0,0,1,0,8
02-09-2025 09:00,MG Road,191,28,163,37.25510606,44.65576174,58.15749498,5.2,0.95,9.5,High,8.1,Clear,0,0,1,0,9
02-09-2025 10:00,MG Road,191,24,167,48.38298997,46.63351434,52.49718074,4.8,0.95,9.5,High,6.2,Clear,0,0,1,0,10
02-09-2025 11:00,MG Road,125,35,90,34.85363406,41.13961234,57.96774328,9.5,0.62,6.2,Medium,8.6,Cloudy,0,0,1,0,11
02-09-2025 12:00,MG Road,116,29,87,49.89266414,46.47687873,63.35655038,2.7,0.58,7.8,Medium,6,Clear,0,1,1,0,12
02-09-2025 13:00,MG Road,123,17,106,50.03666106,52.58209994,46.6961868,5.7,0.61,6.1,Medium,6,Rainy,9.5,0,1,0,13
02-09-2025 14:00,MG Road,160,16,144,43.94764272,57.03273946,46.72110519,8.7,0.8,8,High,6.8,Rainy,1.7,0,1,0,14
02-09-2025 15:00,MG Road,143,36,107,41.92197949,43.93286371,60.01352424,4.7,0.71,7.1,Medium,7.2,Clear,0,0,1,0,15
02-09-2025 16:00,MG Road,140,34,106,39.77227013,49.35364032,62.7993625,6.8,0.7,7,Medium,7.5,Clear,0,0,1,0,16
02-09-2025 17:00,MG Road,216,56,160,34.00593259,42.49167512,48.95904466,9.7,1.08,10,High,8.8,Cloudy,0,0,1,0,17
02-09-2025 18:00,MG Road,189,28,161,47.02055878,46.95497208,47.01262393,2.3,0.94,9.4,High,6.4,Cloudy,0,0,1,0,18
02-09-2025 19:00,MG Road,224,50,174,32.54807949,45.16370596,41.89801563,5.7,1.12,10,High,9.2,Clear,0,0,1,0,19
02-09-2025 20:00,MG Road,165,29,136,42.92109735,45.94540811,41.97118246,2.2,0.82,8.2,High,7,Clear,0,0,1,0,20
02-09-2025 21:00,MG Road,117,18,99,52.47493426,47.57689546,50.58607975,9,0.58,5.8,Medium,5.7,Rainy,14.1,0,1,0,21
02-09-2025 22:00,MG Road,174,48,126,39.0352774,44.87809546,56.62859981,4.9,0.87,8.7,High,7.7,Clear,0,0,1,0,22
02-09-2025 23:00,MG Road,120,14,106,44.44901231,46.81698293,49.59576366,5.9,0.6,6,Medium,6.7,Clear,0,0,1,0,23
03-09-2025 00:00,MG Road,175,35,140,33.47782809,55.08903398,55.00683729,5.4,0.88,10,High,9,Rainy,15,1,2,0,0
03-09-2025 01:00,MG Road,167,34,133,35.64155561,51.5802812,49.77958766,8.8,0.83,8.3,High,8.4,Clear,0,0,2,0,1
03-09-2025 02:00,MG Road,121,31,90,46.14074167,42.61571524,55.32723919,8.1,0.6,6,Medium,6.5,Clear,0,0,2,0,2
03-09-2025 03:00,MG Road,181,35,146,46.84409456,47.09115147,50.40370486,10,0.91,9.1,High,6.4,Clear,0,0,2,0,3
03-09-2025 04:00,MG Road,161,24,137,58.04815016,57.04463864,53.50194346,2.1,0.81,8.1,High,5.2,Rainy,4.9,0,2,0,4
03-09-2025 05:00,MG Road,151,32,119,53.2212077,44.47238133,55.55408292,5.3,0.76,7.6,High,5.6,Clear,0,0,2,0,5
03-09-2025 06:00,MG Road,146,18,128,43.70122906,39.78084089,58.41590305,9.5,0.73,7.3,Medium,6.9,Clear,0,0,2,0,6
03-09-2025 07:00,MG Road,216,27,189,40.52968137,46.97227075,50.0538332,8.5,1.08,10,High,7.4,Clear,0,1,2,0,7
03-09-2025 08:00,MG Road,198,49,149,39.4030388,37.32132156,50.85185314,6.4,0.99,9.9,High,7.6,Clear,0,0,2,0,8
03-09-2025 09:00,MG Road,213,38,175,41.25791058,53.2550365,42.665447,7.8,1.06,10,High,7.3,Rainy,18.4,0,2,0,9
03-09-2025 10:00,MG Road,188,52,136,45.28081722,47.82029921,56.29787013,7.9,0.94,9.4,High,6.6,Clear,0,0,2,0,10
03-09-2025 11:00,MG Road,121,26,95,47.37936542,40.54475542,55.96580126,5.7,0.6,6,Medium,6.3,Clear,0,0,2,0,11
03-09-2025 12:00,MG Road,133,24,109,43.25164864,38.2282795,48.03408149,3.5,0.67,6.7,Medium,6.9,Cloudy,0,0,2,0,12
03-09-2025 13:00,MG Road,166,41,125,47.84033017,49.06497962,45.07385219,5.4,0.83,10,High,6.3,Clear,0,1,2,0,13
03-09-2025 14:00,MG Road,170,20,150,58.67105746,51.79382587,57.82408654,3.4,0.85,8.5,High,5.1,Cloudy,0,0,2,0,14
03-09-2025 15:00,MG Road,157,33,124,45.55680941,52.89002032,45.804438,8.5,0.79,7.9,High,6.6,Cloudy,0,0,2,0,15
03-09-2025 16:00,MG Road,163,27,136,43.05651082,56.72568074,51.17929485,2.1,0.81,8.1,High,7,Clear,0,0,2,0,16
03-09-2025 17:00,MG Road,189,25,164,38.42802345,48.71187854,48.28838789,2.7,0.94,10,High,7.8,Clear,0,1,2,0,17
03-09-2025 18:00,MG Road,216,62,154,38.11041934,45.8594769,54.32382299,7,1.08,10,High,7.9,Clear,0,0,2,0,18
03-09-2025 19:00,MG Road,190,55,135,45.22924956,43.08190271,50.34091075,2.8,0.95,9.5,High,6.6,Clear,0,0,2,0,19
03-09-2025 20:00,MG Road,136,36,100,45.14352266,51.8814464,49.52831872,2.1,0.68,8.8,Medium,6.6,Clear,0,1,2,0,20
03-09-2025 21:00,MG Road,166,46,120,39.33462116,46.20392877,46.71341548,2.1,0.83,8.3,High,7.6,Rainy,1.9,0,2,0,21
03-09-2025 22:00,MG Road,133,15,118,51.76871133,50.38989419,61.76193975,6,0.67,6.7,Medium,5.8,Cloudy,0,0,2,0,22
03-09-2025 23:00,MG Road,157,17,140,47.68663696,61.98965798,54.00820362,10,0.79,7.9,High,6.3,Clear,0,0,2,0,23
04-09-2025 00:00,MG Road,147,40,107,44.6584691,47.6773254,58.46218591,6.9,0.73,7.3,Medium,6.7,Cloudy,0,0,3,0,0
04-09-2025 01:00,MG Road,175,48,127,39.16649907,50.17630304,58.94115031,9.7,0.88,8.8,High,7.7,Clear,0,0,3,0,1
04-09-2025 02:00,MG Road,168,40,128,36.76067736,48.9731321,52.05077336,9.8,0.84,8.4,High,8.2,Rainy,7.2,0,3,0,2
04-09-2025 03:00,MG Road,119,26,93,52.19250798,48.50678326,60.56960407,6.4,0.59,5.9,Medium,5.7,Cloudy,0,0,3,0,3
04-09-2025 04:00,MG Road,155,18,137,41.76621979,51.30184841,54.30006286,9.4,0.78,7.8,High,7.2,Cloudy,0,0,3,0,4
04-09-2025 05:00,MG Road,173,28,145,50.84801876,43.11154576,60.5265793,9.9,0.86,8.6,High,5.9,Cloudy,0,0,3,0,5
04-09-2025 06:00,MG Road,163,22,141,43.97705352,47.82615845,46.96477957,6.8,0.81,10,High,6.8,Cloudy,0,1,3,0,6
04-09-2025 07:00,MG Road,183,36,147,45.41194308,50.30061536,42.49968037,9.2,0.92,9.2,High,6.6,Cloudy,0,0,3,0,7
04-09-2025 08:00,MG Road,230,61,169,27.50045084,51.60051906,46.7654476,6,1.15,10,High,10.9,Clear,0,0,3,0,8
04-09-2025 09:00,MG Road,220,35,185,45.38801345,40.84548065,52.22714709,5.8,1.1,10,High,6.6,Clear,0,0,3,0,9
04-09-2025 10:00,MG Road,202,44,158,46.59075951,41.52362089,51.92918569,4.1,1.01,10,High,6.4,Clear,0,0,3,0,10
04-09-2025 11:00,MG Road,164,39,125,46.68570107,42.58347935,60.01783632,5.9,0.82,8.2,High,6.4,Rainy,10.2,0,3,0,11
04-09-2025 12:00,MG Road,168,23,145,45.73834215,42.54724166,40.91948007,9.7,0.84,8.4,High,6.6,Cloudy,0,0,3,0,12
04-09-2025 13:00,MG Road,135,30,105,55.09097558,39.71841362,53.11798474,6.3,0.68,6.8,Medium,5.4,Clear,0,0,3,0,13
04-09-2025 14:00,MG Road,118,33,85,57.19912409,41.53356053,57.66832973,8.2,0.59,5.9,Medium,5.2,Clear,0,0,3,0,14
04-09-2025 15:00,MG Road,118,19,99,41.82248186,42.56951331,52.10898711,5.1,0.59,5.9,Medium,7.2,Rainy,1.4,0,3,0,15
04-09-2025 16:00,MG Road,141,33,108,38.56256042,42.63248945,52.33885995,9.8,0.7,7,Medium,7.8,Rainy,7.9,0,3,0,16
04-09-2025 17:00,MG Road,219,33,186,37.3944736,51.7610076,49.23365616,6.1,1.09,10,High,8,Clear,0,1,3,0,17
04-09-2025 18:00,MG Road,197,29,168,40.49239109,48.8963039,44.55657587,2.8,0.98,9.8,High,7.4,Clear,0,0,3,0,18
04-09-2025 19:00,MG Road,231,42,189,34.07405096,45.41536483,47.82975686,3.9,1.16,10,High,8.8,Clear,0,0,3,0,19
04-09-2025 20:00,MG Road,161,18,143,37.22186201,51.51879234,58.63356273,9.4,0.81,8.1,High,8.1,Clear,0,0,3,0,20
04-09-2025 21:00,MG Road,161,30,131,46.35368054,39.95140876,53.77082875,6.9,0.81,8.1,High,6.5,Clear,0,0,3,0,21
04-09-2025 22:00,MG Road,145,29,116,34.15880846,43.85690676,47.51397442,2.8,0.72,7.2,Medium,8.8,Clear,0,0,3,0,22
04-09-2025 23:00,MG Road,114,17,97,60.21091523,52.2220938,53.31836197,2,0.57,5.7,Medium,5,Clear,0,0,3,0,23
05-09-2025 00:00,MG Road,116,18,98,52.9174815,46.78964396,66.37811058,6.6,0.58,5.8,Medium,5.7,Clear,0,0,4,0,0
05-09-2025 01:00,MG Road,152,33,119,51.44876628,38.49790253,66.68671119,2.5,0.76,7.6,High,5.8,Cloudy,0,0,4,0,1
05-09-2025 02:00,MG Road,178,41,137,35.45797057,43.16130282,41.72487137,8.5,0.89,8.9,High,8.5,Clear,0,0,4,0,2
05-09-2025 03:00,MG Road,117,21,96,47.43611112,50.94681178,62.41094261,3.3,0.58,5.8,Medium,6.3,Cloudy,0,0,4,0,3
05-09-2025 04:00,MG Road,175,30,145,46.47000097,43.79585421,53.29249764,6.6,0.88,8.8,High,6.5,Rainy,1.8,0,4,0,4
05-09-2025 05:00,MG Road,121,25,96,56.93857234,55.097268,57.39826063,9.6,0.6,6,Medium,5.3,Clear,0,0,4,0,5
05-09-2025 06:00,MG Road,178,51,127,41.42517216,47.68233391,50.00067511,3.6,0.89,8.9,High,7.2,Cloudy,0,0,4,0,6
05-09-2025 07:00,MG Road,221,49,172,32.40048757,51.54723624,50.17378873,8.1,1.1,10,High,9.3,Rainy,9.1,0,4,0,7
05-09-2025 08:00,MG Road,230,29,201,30.41913317,46.56372778,42.82602919,2.2,1.15,10,High,9.9,Cloudy,0,0,4,0,8
05-09-2025 09:00,MG Road,213,61,152,43.31870613,42.56996432,55.96530899,4.1,1.06,10,High,6.9,Cloudy,0,0,4,0,9
05-09-2025 10:00,MG Road,216,56,160,39.48683149,47.78189975,52.12532739,3.8,1.08,10,High,7.6,Clear,0,0,4,0,10
05-09-2025 11:00,MG Road,143,27,116,36.96031942,44.66297857,55.25780035,4.3,0.71,7.1,Medium,8.1,Clear,0,0,4,0,11
05-09-2025 12:00,MG Road,150,40,110,31.58381481,51.12173092,57.58657108,7.6,0.75,7.5,High,9.5,Clear,0,0,4,0,12
05-09-2025 13:00,MG Road,114,20,94,42.59303272,42.79291708,58.92676478,3.7,0.57,5.7,Medium,7,Rainy,17.9,0,4,0,13
05-09-2025 14:00,MG Road,113,31,82,49.47511646,44.59457806,69.22453141,7.1,0.56,5.6,Medium,6.1,Cloudy,0,0,4,0,14
05-09-2025 15:00,MG Road,159,40,119,44.95804751,56.87266656,70.82668921,3.1,0.8,8,High,6.7,Rainy,1.9,0,4,0,15
05-09-2025 16:00,MG Road,125,20,105,45.67836494,55.43999427,51.2829094,8.7,0.62,6.2,Medium,6.6,Clear,0,0,4,0,16
05-09-2025 17:00,MG Road,220,46,174,40.03765477,39.16520483,47.77049549,4.9,1.1,10,High,7.5,Clear,0,0,4,0,17
05-09-2025 18:00,MG Road,219,41,178,37.43709406,47.82934843,50.46609819,5.6,1.09,10,High,8,Clear,0,0,4,0,18
05-09-2025 19:00,MG Road,222,65,157,36.87053907,43.48717422,36.49330899,8.6,1.11,10,High,8.1,Clear,0,0,4,0,19
05-09-2025 20:00,MG Road,142,33,109,37.37490614,48.7005668,57.86377298,7,0.71,7.1,Medium,8,Clear,0,0,4,0,20
05-09-2025 21:00,MG Road,124,14,110,41.36698204,50.4796607,58.22696312,6.9,0.62,6.2,Medium,7.3,Clear,0,0,4,0,21
05-09-2025 22:00,MG Road,117,21,96,37.60787996,50.71947336,54.46911275,4.3,0.58,5.8,Medium,8,Rainy,7.6,0,4,0,22
05-09-2025 23:00,MG Road,138,23,115,54.00896541,55.44348583,56.14302914,8.6,0.69,8.9,Medium,5.6,Clear,0,1,4,0,23
06-09-2025 00:00,MG Road,168,41,127,44.02853112,50.61670234,55.13058003,3.6,0.84,8.4,High,6.8,Clear,0,0,5,1,0
06-09-2025 01:00,MG Road,120,17,103,49.58501742,45.23127022,56.89006629,6,0.6,8,Medium,6.1,Cloudy,0,1,5,1,1
06-09-2025 02:00,MG Road,149,22,127,40.40732709,50.50812584,59.82860011,6.8,0.74,7.4,Medium,7.4,Clear,0,0,5,1,2
06-09-2025 03:00,MG Road,114,22,92,44.39899034,39.98661207,64.16422377,3.7,0.57,5.7,Medium,6.8,Cloudy,0,0,5,1,3
06-09-2025 04:00,MG Road,117,21,96,46.06324464,48.38008707,55.45017551,8.5,0.58,5.8,Medium,6.5,Clear,0,0,5,1,4
06-09-2025 05:00,MG Road,159,16,143,43.46658678,51.34897365,48.9500456,9.3,0.8,8,High,6.9,Rainy,15.5,0,5,1,5
06-09-2025 06:00,MG Road,159,23,136,47.82724048,47.05817831,50.57365707,8.9,0.8,8,High,6.3,Clear,0,0,5,1,6
06-09-2025 07:00,MG Road,184,43,141,45.88225728,35.25416659,55.52271009,3.4,0.92,9.2,High,6.5,Cloudy,0,0,5,1,7
06-09-2025 08:00,MG Road,215,35,180,46.18522038,43.50706198,50.09346527,6,1.07,10,High,6.5,Clear,0,0,5,1,8
06-09-2025 09:00,MG Road,185,21,164,41.69632173,47.07967004,38.16938541,5.8,0.93,9.3,High,7.2,Clear,0,0,5,1,9
06-09-2025 10:00,MG Road,182,26,156,42.86794972,48.44293455,44.46656675,8.6,0.91,9.1,High,7,Cloudy,0,0,5,1,10
06-09-2025 11:00,MG Road,119,15,104,46.78540211,48.29053112,61.80158596,7.7,0.59,5.9,Medium,6.4,Rainy,8.9,0,5,1,11
06-09-2025 12:00,MG Road,112,24,88,45.99805755,53.90332665,55.89493251,5.6,0.56,5.6,Medium,6.5,Cloudy,0,0,5,1,12
06-09-2025 13:00,MG Road,117,33,84,50.77567687,47.46671929,53.79707225,4.4,0.58,7.8,Medium,5.9,Rainy,1.1,1,5,1,13
06-09-2025 14:00,MG Road,133,37,96,49.60327502,43.06884392,56.74362323,4.7,0.67,6.7,Medium,6,Cloudy,0,0,5,1,14
06-09-2025 15:00,MG Road,150,42,108,43.84022982,37.07125655,62.94468959,6.7,0.75,7.5,High,6.8,Clear,0,0,5,1,15
06-09-2025 16:00,MG Road,141,41,100,52.38907764,43.61211152,56.26723293,6.8,0.7,7,Medium,5.7,Clear,0,0,5,1,16
06-09-2025 17:00,MG Road,216,51,165,41.15602713,54.29714809,49.7031938,3,1.08,10,High,7.3,Cloudy,0,0,5,1,17
06-09-2025 18:00,MG Road,210,27,183,45.99447257,44.81496983,41.70649194,7.7,1.05,10,High,6.5,Clear,0,0,5,1,18
06-09-2025 19:00,MG Road,194,37,157,35.64421209,49.2488835,51.61039242,3.1,0.97,9.7,High,8.4,Rainy,9.1,0,5,1,19
06-09-2025 20:00,MG Road,143,17,126,37.49428276,46.50339885,58.04979427,9.4,0.71,7.1,Medium,8,Rainy,18.5,0,5,1,20
06-09-2025 21:00,MG Road,152,17,135,44.78046931,54.79831585,59.50808759,3.2,0.76,7.6,High,6.7,Clear,0,0,5,1,21
06-09-2025 22:00,MG Road,115,14,101,47.68016632,52.22050703,49.69721749,2.5,0.57,5.7,Medium,6.3,Clear,0,0,5,1,22
06-09-2025 23:00,MG Road,119,13,106,49.82239525,44.18745578,60.8148162,8.3,0.59,7.9,Medium,6,Clear,0,1,5,1,23
07-09-2025 00:00,MG Road,121,29,92,49.03157255,45.11678503,46.50652168,8.3,0.6,6,Medium,6.1,Clear,0,0,6,1,0
07-09-2025 01:00,MG Road,119,33,86,50.75104188,53.24227182,65.96826074,8.9,0.59,5.9,Medium,5.9,Clear,0,0,6,1,1
07-09-2025 02:00,MG Road,114,22,92,46.04761906,47.76297337,54.48828603,7.4,0.57,7.7,Medium,6.5,Cloudy,0,1,6,1,2
07-09-2025 03:00,MG Road,126,16,110,47.07172948,41.66766361,49.96713803,7.6,0.63,6.3,Medium,6.4,Cloudy,0,0,6,1,3
07-09-2025 04:00,MG Road,172,41,131,45.38695554,42.60395262,44.65629259,6.1,0.86,8.6,High,6.6,Clear,0,0,6,1,4
07-09-2025 05:00,MG Road,150,27,123,59.23330707,42.34823921,54.04868307,8.7,0.75,7.5,High,5.1,Clear,0,0,6,1,5
07-09-2025 06:00,MG Road,146,31,115,50.46000614,48.12124138,56.31437489,8.4,0.73,7.3,Medium,5.9,Clear,0,0,6,1,6
07-09-2025 07:00,MG Road,189,35,154,33.03982714,59.17215752,54.52142325,4.8,0.94,9.4,High,9.1,Clear,0,0,6,1,7
07-09-2025 08:00,MG Road,209,45,164,42.08708314,47.29888702,45.47326358,4.9,1.04,10,High,7.1,Clear,0,0,6,1,8
07-09-2025 09:00,MG Road,197,56,141,37.32622811,44.55318212,47.148496,5.9,0.98,9.8,High,8,Clear,0,0,6,1,9
07-09-2025 10:00,MG Road,195,38,157,35.2131407,44.31115865,51.12245406,4.4,0.97,9.7,High,8.5,Cloudy,0,0,6,1,10
07-09-2025 11:00,MG Road,178,28,150,46.52254273,47.14261376,37.33117753,5.5,0.89,8.9,High,6.4,Clear,0,0,6,1,11
07-09-2025 12:00,MG Road,114,19,95,38.95844089,49.71019806,52.25359753,9.6,0.57,5.7,Medium,7.7,Clear,0,0,6,1,12
07-09-2025 13:00,MG Road,147,27,120,39.80504823,42.82090371,46.78938995,3.3,0.73,7.3,Medium,7.5,Clear,0,0,6,1,13
07-09-2025 14:00,MG Road,156,17,139,39.28452027,48.84118941,52.51748133,2.1,0.78,7.8,High,7.6,Clear,0,0,6,1,14
07-09-2025 15:00,MG Road,141,26,115,40.23350727,40.97100501,55.60749825,3.6,0.7,7,Medium,7.5,Cloudy,0,0,6,1,15
07-09-2025 16:00,MG Road,171,37,134,44.61031445,40.23939156,54.19562197,2.1,0.85,8.5,High,6.7,Rainy,17.5,0,6,1,16
07-09-2025 17:00,MG Road,214,62,152,34.04878163,50.30808477,46.6666765,9.4,1.07,10,High,8.8,Cloudy,0,0,6,1,17
07-09-2025 18:00,MG Road,223,35,188,35.91203716,45.78368162,39.09807671,9.2,1.11,10,High,8.4,Clear,0,0,6,1,18
07-09-2025 19:00,MG Road,210,31,179,33.00444266,37.69043332,49.3461049,8.8,1.05,10,High,9.1,Clear,0,0,6,1,19
07-09-2025 20:00,MG Road,160,36,124,46.92575991,45.24757114,50.30817075,3.8,0.8,8,High,6.4,Clear,0,0,6,1,20
07-09-2025 21:00,MG Road,128,28,100,50.4988471,54.15936429,60.66819127,2.2,0.64,6.4,Medium,5.9,Cloudy,0,0,6,1,21
07-09-2025 22:00,MG Road,178,34,144,39.20523569,51.9777777,55.96590323,2.3,0.89,10,High,7.7,Clear,0,1,6,1,22
07-09-2025 23:00,MG Road,123,19,104,48.8029344,48.82228693,44.49025503,5.8,0.61,6.1,Medium,6.1,Clear,0,0,6,1,23
08-09-2025 00:00,MG Road,175,26,149,40.77205483,48.35033762,50.46177873,7.1,0.88,8.8,High,7.4,Cloudy,0,0,0,0,0
08-09-2025 01:00,MG Road,124,32,92,55.07996526,49.78377559,58.85103176,4.6,0.62,6.2,Medium,5.4,Rainy,18.8,0,0,0,1
08-09-2025 02:00,MG Road,157,16,141,41.44072781,44.19222536,48.63793428,6.3,0.79,7.9,High,7.2,Clear,0,0,0,0,2
08-09-2025 03:00,MG Road,134,37,97,39.01712455,41.32928125,59.89799075,10,0.67,6.7,Medium,7.7,Clear,0,0,0,0,3
08-09-2025 04:00,MG Road,179,47,132,46.32175596,42.15248321,61.50747033,6,0.9,10,High,6.5,Rainy,11.5,1,0,0,4
08-09-2025 05:00,MG Road,120,28,92,53.16036506,48.35962826,67.2064176,6.8,0.6,6,Medium,5.6,Clear,0,0,0,0,5
08-09-2025 06:00,MG Road,181,28,153,33.20840796,56.70968806,52.18897767,2.9,0.91,9.1,High,9,Rainy,7.6,0,0,0,6
08-09-2025 07:00,MG Road,205,60,145,38.58387161,43.77174406,49.35492133,9.7,1.02,10,High,7.8,Clear,0,0,0,0,7
08-09-2025 08:00,MG Road,211,60,151,37.44248841,48.81816048,48.41715606,4.1,1.05,10,High,8,Cloudy,0,0,0,0,8
08-09-2025 09:00,MG Road,213,36,177,43.35925089,37.02961792,54.83026461,5.8,1.06,10,High,6.9,Clear,0,0,0,0,9
08-09-2025 10:00,MG Road,199,26,173,34.7505049,45.42389261,46.27406587,9.2,0.99,9.9,High,8.6,Cloudy,0,0,0,0,10
08-09-2025 11:00,MG Road,150,21,129,55.21904809,41.01448603,56.08377207,3.2,0.75,7.5,High,5.4,Cloudy,0,0,0,0,11
08-09-2025 12:00,MG Road,156,46,110,37.47487287,38.55693647,44.85259501,6.4,0.78,7.8,High,8,Clear,0,0,0,0,12
08-09-2025 13:00,MG Road,115,22,93,54.27627473,41.3457305,52.18965301,9.2,0.57,5.7,Medium,5.5,Cloudy,0,0,0,0,13
08-09-2025 14:00,MG Road,115,24,91,48.61503502,51.42437079,45.63745134,7.2,0.57,5.7,Medium,6.2,Cloudy,0,0,0,0,14
08-09-2025 15:00,MG Road,156,30,126,50.73581354,45.89703191,41.25132799,2.2,0.78,9.8,High,5.9,Clear,0,1,0,0,15
08-09-2025 16:00,MG Road,158,37,121,43.90814115,50.75317824,53.67297903,8.2,0.79,7.9,High,6.8,Rainy,19.9,0,0,0,16
08-09-2025 17:00,MG Road,183,51,132,43.5775682,50.55107184,53.46697411,4.2,0.92,9.2,High,6.9,Cloudy,0,0,0,0,17
08-09-2025 18:00,MG Road,186,53,133,33.19175814,45.5104567,55.6661624,8,0.93,9.3,High,9,Clear,0,0,0,0,18
08-09-2025 19:00,MG Road,198,42,156,43.52748136,50.19111753,56.26541683,4.4,0.99,9.9,High,6.9,Clear,0,0,0,0,19
08-09-2025 20:00,MG Road,112,28,84,54.2756673,46.02441004,47.81736019,8.6,0.56,7.6,Medium,5.5,Clear,0,1,0,0,20
